Query,Vector RAG,GraphRAG,,,,
When did the Indian Super League start?,"The Indian Super League was officially launched on 21 October 2013 by IMG–Reliance, Star Sports, and the All India Football Federation. The competition was announced to take place from January 2014 to March 2014, but was postponed shortly thereafter to September 2014.","The Indian Super League was officially launched on 21 October 2013 by IMG–Reliance, Star Sports, and the All India Football Federation. The competition was announced to take place from January 2014 to March 2014, but was postponed shortly thereafter to September 2014.",,,,
,"The regular season of the Indian Super League usually runs from September to April (since the 2017–18 season). The competition consists of 24 rounds that follow a double round-robin format, with each club playing the others twice, once at their home stadium and once at their opponents' stadium, for a total of 24 matches each. Teams receive three points for a win, one point for a draw, and no points for a loss. Teams are ranked by total points. From the 2019–20 season, the team with the highest-ranked club at the end of the regular season had been awarded the League Winners' Shield up to 2024–25 season. From the 2025–26 season, the team finishing first in the league table is awarded the ISL trophy.","The regular season of the Indian Super League usually runs from September to April (since the 2017–18 season). The competition consists of 24 rounds that follow a double round-robin format, with each club playing the others twice, once at their home stadium and once at their opponents' stadium, for a total of 24 matches each. Teams receive three points for a win, one point for a draw, and no points for a loss. Teams are ranked by total points. From the 2019–20 season, the team with the highest-ranked club at the end of the regular season had been awarded the League Winners' Shield up to 2024–25 season. From the 2025–26 season, the team finishing first in the league table is awarded the ISL trophy.",,,,
,"Following the Indian football roadmap, the Indian Super League became the sole top-tier league in the country from the 2022–23 season. Before the 2023–24 season, Punjab FC became the first club to be promoted to the league from the I-League. Similarly, Mohammedan SC and Inter Kashi won the next I-Leagues and was promoted for 2024–25 and 2025–26 ISL season respectively.

The Indian football roadmap also recommended relegation to be adopted by the 2024–25 season. However, no official confirmation of its implementation has been released yet.","Following the Indian football roadmap, the Indian Super League became the sole top-tier league in the country from the 2022–23 season. Before the 2023–24 season, Punjab FC became the first club to be promoted to the league from the I-League. Similarly, Mohammedan SC and Inter Kashi won the next I-Leagues and was promoted for 2024–25 and 2025–26 ISL season respectively.

The Indian football roadmap also recommended relegation to be adopted by the 2024–25 season. However, no official confirmation of its implementation has been released yet.",,,,
,"During the first three seasons of the Indian Super League, attendance across the competition exceeded the expectations of pundits and the domestic I-League mainly due to the timing of the matches, mostly on working days, and extensive promotion. Television ratings were also strong for the competition, due to better commentary and telecasting, pre-match and post-match shows, as well as hourly reminders in various channels and social media interaction. However, despite the general success off the pitch, the competition drew criticism in other areas. Due to the need to accommodate the ISL into the Indian football calendar, the I-League season was shortened and went from having an October to May schedule to a January to May schedule. Indian players would play for both an ISL team and an I-League club while the I-League continued to suffer from a lack of visibility compared to the ISL. India's then head coach Stephen Constantine had called for both the ISL and I-League to either run together at the same time or merge.","During the first three seasons of the Indian Super League, attendance across the competition exceeded the expectations of pundits and the domestic I-League mainly due to the timing of the matches, mostly on working days, and extensive promotion. Television ratings were also strong for the competition, due to better commentary and telecasting, pre-match and post-match shows, as well as hourly reminders in various channels and social media interaction. However, despite the general success off the pitch, the competition drew criticism in other areas. Due to the need to accommodate the ISL into the Indian football calendar, the I-League season was shortened and went from having an October to May schedule to a January to May schedule. Indian players would play for both an ISL team and an I-League club while the I-League continued to suffer from a lack of visibility compared to the ISL. India's then head coach Stephen Constantine had called for both the ISL and I-League to either run together at the same time or merge",,,,
,"The Indian Super League (ISL) is a professional association football league in India and the highest level of the Indian football league system. Contested by 14 clubs, it operates on a system of promotion and relegation with the Indian Football League. It is administered by the All India Football Federation (AIFF).

The current season runs from February to May. The 14 participating clubs will compete in a single-leg round-robin format, with each team playing 13 matches. The table toppers at the end of the league will be crowned the champions. ISL clubs qualify for AFC continental club competitions, with the league champions earning qualification for the subsequent season's AFC Champions League Two qualifying playoffs.","The Indian Super League (ISL) is a professional association football league in India and the highest level of the Indian football league system. Contested by 14 clubs, it operates on a system of promotion and relegation with the Indian Football League. It is administered by the All India Football Federation (AIFF).

The current season runs from February to May. The 14 participating clubs will compete in a single-leg round-robin format, with each team playing 13 matches. The table toppers at the end of the league will be crowned the champions. ISL clubs qualify for AFC continental club competitions, with the league champions earning qualification for the subsequent season's AFC Champions League Two qualifying playoffs",,,,
Who scored first score in ISL?,"Since the league's inaugural season, six clubs have won the ISL trophy: ATK (3), Chennaiyin (2), Mumbai City (2), Mohun Bagan (2), Bengaluru (1), and Hyderabad FC (1). Since the introduction of the League Winners' Shield in the 2019–20 season, Mumbai City and Mohun Bagan have won it twice, while Goa and Jamshedpur have won it once each. In the 2024–25 season, Mohun Bagan became the first team to successfully defend the League Shield. Mohun Bagan also became the first team to earn 50 points or more in the league, setting a record with 56 points in the 2024–25 league season.","After finishing in fourth place during the regular season, the side played their first semi-finals match on 13 December 2014 against Chennaiyin. Despite not being considered the favourite to win the two-legged tie, they won the first leg at home 3–0 with goals from Ishfaq Ahmed, Iain Hume, and Sushanth Mathew. During the second leg in Chennai, the Blasters were about to suffer a massive setback. Despite entering the second leg with a three-goal advantage, Chennaiyin drew the tie level by winning in regular time 3–0. In extra time, however, Stephen Pearson scored the decisive goal in the 117th minute to win the tie 4–3 to enter the final.",,,,
,"The inaugural season began on 12 October 2014 at the Salt Lake Stadium when Atlético de Kolkata defeated Mumbai City, 3–0. The first goal was scored by Fikru Teferra. The first Indian to score in the league was Balwant Singh for Chennaiyin FC.

For the first three seasons of the Indian Super League, the competition operated without official recognition from the governing body for football in Asia, the Asian Football Confederation (AFC), and the world football governing body FIFA. In October 2014, then FIFA Secretary General Jérôme Valcke stated that the world governing body only recognized the ISL as a tournament, not a league. The official league for football in India remained the I-League. With no recognition from the AFC, the teams also could not participate in Asian club competitions, the AFC Champions League or the AFC Cup.","They played the opening match of the season on 7 October against East Bengal FC, which they won 3–1. Even though the Blasters lost their next three games, they recovered from the bad run and went on an eight match unbeaten streak and five consecutive wins for the first time in their history in this season. By the end of the season, the Blasters won ten of their twenty league stage matches, which became a club record, and ended up 5th in the table and qualified for the playoffs. The Blasters met arch-rivals Bengaluru FC in the first knockout stage match in a new format for the ISL playoffs. The match that took place on 3 March is known for the controversial Sunil Chhetri's goal and walk-off by the Kerala Blasters players. Ivan Vukomanović called-off the Blasters players from the pitch into the dressing room after the referee gave green light to the Sunil Chhetri's free-kick goal for Bengaluru in the extra-time, which the Blasters players and staff deemed illegitimate citing that the Blasters players did not set themselves in their defensive positions prior to the free-kick was taken. Bengaluru was awarded the win, and the Blasters appealed to the federation for the match to be replayed and demanded for the match referee Crystal John to be banned from refereeing. The AIFF disciplinary committee rejected the Blasters' appeal and imposed a fine of rupees four crores on the Blasters for abandoning the match and asked them to issue a public apology within a week, failing which they would be obliged to pay a fine of rupees six crores, and Vukomanović was handed a ten-match ban by the AIFF-DC from taking part in any AIFF held tournaments along with a fine of rupees five lakhs, and directed him to issue a public apology within a week as well, failing which the fine would be doubled to rupees ten lakhs. The club and Vukomanović then issued their apologies and 'regrets' as demanded by the AIFF-DC, giving a dramatic end to their ISL campaign",,,,
,"After finishing in fourth place during the regular season, the side played their first semi-finals match on 13 December 2014 against Chennaiyin. Despite not being considered the favourite to win the two-legged tie, they won the first leg at home 3–0 with goals from Ishfaq Ahmed, Iain Hume, and Sushanth Mathew. During the second leg in Chennai, the Blasters were about to suffer a massive setback. Despite entering the second leg with a three-goal advantage, Chennaiyin drew the tie level by winning in regular time 3–0. In extra time, however, Stephen Pearson scored the decisive goal in the 117th minute to win the tie 4–3 to enter the final.","He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.",,,,
,"Due to the COVID-19 pandemic, the seventh season of ISL was decided to take place in 3 venues in Goa behind closed doors. Same as in the previous season, the team suffered an early setback, with this time, captain Sergio Cidoncha suffering a ligament injury on his right ankle during their third match against Chennaiyin FC, ruling out for the remainder of the season. It took the Blasters seven games to register their first victory of the season, winning against Hyderabad FC 2–0. The team was affected by injuries, lesser compared to the previous season. They lost 18 points from the winning position, which includes 4 losses after taking the early lead. The club had the worst defensive performance in their history conceding 33 goals in 18 games and having only 3 wins. On 17 February 2021, after a 4–0 loss against Hyderabad FC on 16 February, Kibu Vicuna and the management decided to part ways on mutual consent. Assistant manager Ishfaq Ahmed was appointed as the interim head coach for the remaining 2 games of the season. The club's fortunes remained largely unchanged in the season as they finished tenth place in the league table","Kerala Blasters played their first game on 13 October 2014 against NorthEast United at the Indira Gandhi Athletic Stadium; they lost the game 1–0 after Koke scored in the 45th minute. On 21 October, the club's first-ever goal was scored by Iain Hume during their second match, which was against Chennaiyin. Despite Hume's goal, the Blasters lost the game 2–1. The club's first win came in their fourth game, which was played against Pune City; Chinadorai Sabeeth and Penn Orji scored the club's goals, leading to a 2–1 victory. After playing their first five matches away from home, Kerala Blasters hosted their first home match on 6 November 2014 against Goa. A goal by Milagres Gonsalves led to a 1–0 victory in front of 49,517 fans at the Jawaharlal Nehru Stadium. The Blasters qualified for the playoffs on 9 December 2014 with a 1–0 victory over Pune City.",,,,
,"He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.","The top two clubs after the regular season automatically progress to the ISL Cup playoffs. The third-through-sixth ranked clubs play a single-elimination match hosted at the higher-ranked club's venue, with the two winners joining the first and second-ranked clubs in two-legged semifinals played over two weeks. The two winners eventually meet in the ISL Cup final hosted at the home stadium of the higher-ranked club since 2024. From the 2025–26 season, the playoffs stage is discarded.",,,,
Who scored more runs in IPL?,"In 2010 edition of Indian Premier League, Mumbai Indians reached the final of the tournament. Tendulkar made 618 runs in 14 innings during the tournament, breaking Shaun Marsh's record of most runs in an IPL season. He was declared player of the tournament for his performance during the season. He also won Best Batsman and Best Captain awards at 2010 IPL Awards ceremony. Tendulkar has scored more than 500 runs in IPL in two different seasons as a captain.
Sachin Tendulkar captained Mumbai Indians in 4 league matches of the second edition of the Champions League T20. He scored 68 in the first match and 48 against Guyana. But Mumbai Indians failed to qualify for semifinals after losing the initial two matches. Tendulkar scored 135 runs.","In 2010 edition of Indian Premier League, Mumbai Indians reached the final of the tournament. Tendulkar made 618 runs in 14 innings during the tournament, breaking Shaun Marsh's record of most runs in an IPL season. He was declared player of the tournament for his performance during the season. He also won Best Batsman and Best Captain awards at 2010 IPL Awards ceremony. Tendulkar has scored more than 500 runs in IPL in two different seasons as a captain.

Sachin Tendulkar captained Mumbai Indians in 4 league matches of the second edition of the Champions League T20. He scored 68 in the first match and 48 against Guyana. But Mumbai Indians failed to qualify for semifinals after losing the initial two matches. Tendulkar scored 135 runs.",,,,
,"In 1988, while playing for Sharadashram, Tendulkar and Vinod Kambli batted in an unbroken 664-run partnership in a Lord Harris Shield inter-school game against St. Xavier's High School. Tendulkar scored 326 (not out) in that match and scored over 1,000 runs in the tournament. This was a record partnership in any form of cricket until 2006, when it was broken by two junior cricketers in Hyderabad, India.","In 1988, while playing for Sharadashram, Tendulkar and Vinod Kambli batted in an unbroken 664-run partnership in a Lord Harris Shield inter-school game against St. Xavier's High School. Tendulkar scored 326 (not out) in that match and scored over 1,000 runs in the tournament. This was a record partnership in any form of cricket until 2006, when it was broken by two junior cricketers in Hyderabad, India.",,,,
,"Tendulkar is the leading run-scorer in Test matches, with 15,921 runs, as well as in ODI matches, with 18,426 runs. He is the only player to score more than 30,000 runs combined in all forms of international cricket (Test, ODI, and Twenty20). He is the 16th player and the first Indian to score 50,000 runs in all forms of domestic and international recognised cricket (First-class, List A, and Twenty20). He achieved this feat on 5 October 2013, during a Champions League Twenty20 match for his IPL team Mumbai Indians against Trinidad and Tobago.
Tendulkar has scored over 1,000 runs in a calendar year in ODIs 7 times, and in 1998 he scored 1,894 runs, the record for the highest number of runs scored by any player in a single calendar year for One-Day Internationals. He is the first male cricketer to score a double-century in one-day cricket.","Tendulkar is the leading run-scorer in Test matches, with 15,921 runs, as well as in ODI matches, with 18,426 runs. He is the only player to score more than 30,000 runs combined in all forms of international cricket (Test, ODI, and Twenty20). He is the 16th player and the first Indian to score 50,000 runs in all forms of domestic and international recognised cricket (First-class, List A, and Twenty20). He achieved this feat on 5 October 2013, during a Champions League Twenty20 match for his IPL team Mumbai Indians against Trinidad and Tobago.

Tendulkar has scored over 1,000 runs in a calendar year in ODIs 7 times, and in 1998 he scored 1,894 runs, the record for the highest number of runs scored by any player in a single calendar year for One-Day Internationals. He is the first male cricketer to score a double-century in one-day cricket.",,,,
,"He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.","He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.",,,,
,"Tendulkar's rise continued when he was the leading run scorer at the 1996 World Cup with 523 runs, scoring two centuries and three fifties. He was the only Indian batsman to perform well in the semi-final against Sri Lanka, scoring 65 runs out of 120 for India. Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.
After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch. Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket. After getting out, Tendulkar found Azharuddin in two minds about whether he should bat. Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over. India went on to win that match. It enabled India to post a score in excess of 300 runs for the first time in an ODI.","Tendulkar's rise continued when he was the leading run scorer at the 1996 World Cup with 523 runs, scoring two centuries and three fifties. He was the only Indian batsman to perform well in the semi-final against Sri Lanka, scoring 65 runs out of 120 for India. Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.

After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch. Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket. After getting out, Tendulkar found Azharuddin in two minds about whether he should bat. Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over. India went on to win that match. It enabled India to post a score in excess of 300 runs for the first time in an ODI.",,,,
Who is the first owner of Kerala Blasters?,"Kerala Blasters Football Club, commonly referred to simply as Blasters, is an Indian professional football club based in Kochi, Kerala, that competes in the Indian Super League, the top tier of football in India. The club was established in May 2014 during the inaugural season of the ISL.","Kerala Blasters Football Club, commonly referred to simply as Blasters, is an Indian professional football club based in Kochi, Kerala, that competes in the Indian Super League, the top tier of football in India. The club was established in May 2014 during the inaugural season of the ISL.",,,,
,"In early 2014, the All India Football Federation announced they would accept bids for the ownership of eight franchises from selected cities for the inaugural season of the Indian Super League. On 13 April 2014, it was announced the rights to the Kochi franchise had been won by former India national cricket team captain Sachin Tendulkar and entrepreneur Prasad V. Potluri. On 27 May 2014, the club's official name, Kerala Blasters FC, was announced.","Kerala Blasters played their first game on 13 October 2014 against NorthEast United at the Indira Gandhi Athletic Stadium; they lost the game 1–0 after Koke scored in the 45th minute. On 21 October, the club's first-ever goal was scored by Iain Hume during their second match, which was against Chennaiyin. Despite Hume's goal, the Blasters lost the game 2–1. The club's first win came in their fourth game, which was played against Pune City; Chinadorai Sabeeth and Penn Orji scored the club's goals, leading to a 2–1 victory. After playing their first five matches away from home, Kerala Blasters hosted their first home match on 6 November 2014 against Goa. A goal by Milagres Gonsalves led to a 1–0 victory in front of 49,517 fans at the Jawaharlal Nehru Stadium. The Blasters qualified for the playoffs on 9 December 2014 with a 1–0 victory over Pune City.",,,,
,"Kerala Blasters played their first game on 13 October 2014 against NorthEast United at the Indira Gandhi Athletic Stadium; they lost the game 1–0 after Koke scored in the 45th minute. On 21 October, the club's first-ever goal was scored by Iain Hume during their second match, which was against Chennaiyin. Despite Hume's goal, the Blasters lost the game 2–1. The club's first win came in their fourth game, which was played against Pune City; Chinadorai Sabeeth and Penn Orji scored the club's goals, leading to a 2–1 victory. After playing their first five matches away from home, Kerala Blasters hosted their first home match on 6 November 2014 against Goa. A goal by Milagres Gonsalves led to a 1–0 victory in front of 49,517 fans at the Jawaharlal Nehru Stadium. The Blasters qualified for the playoffs on 9 December 2014 with a 1–0 victory over Pune City.","In early 2014, the All India Football Federation announced they would accept bids for the ownership of eight franchises from selected cities for the inaugural season of the Indian Super League. On 13 April 2014, it was announced the rights to the Kochi franchise had been won by former India national cricket team captain Sachin Tendulkar and entrepreneur Prasad V. Potluri. On 27 May 2014, the club's official name, Kerala Blasters FC, was announced.",,,,
,"In April 2014, it was announced that the former India cricket captain Sachin Tendulkar, along with PVP Ventures, won the bidding for the Kochi franchise in Indian Super League. A consortium named Blasters Sports Ventures Private Limited (BSVPL) was established to oversee the administration and operations of the club. Tendulkar said that he took a stake in the club because he wanted to help popularise football in India and to see Kerala return to its former glory as a footballing state. In May 2014, he said; ""People used to call me Master Blaster. I'm supporting Kerala, Kochi team. I hope the entire Kerala will be behind our football team. That's why we thought of naming it as Kerala Blasters FC."" PVP group owned 60 percent of the club. In October 2015, Securities and Exchange Board of India, imposed a fine of ₹30 crore on PVP Group for not complying with disclosure terms, pushing the club into financial uncertainty. To overcome the financial crisis, Tendulkar partnered with the club's main sponsor Muthoot Group, bought 40 percent from PVP Group's stake and acquired the majority stake at the club.","In April 2014, it was announced that the former India cricket captain Sachin Tendulkar, along with PVP Ventures, won the bidding for the Kochi franchise in Indian Super League. A consortium named Blasters Sports Ventures Private Limited (BSVPL) was established to oversee the administration and operations of the club. Tendulkar said that he took a stake in the club because he wanted to help popularise football in India and to see Kerala return to its former glory as a footballing state. In May 2014, he said; ""People used to call me Master Blaster. I'm supporting Kerala, Kochi team. I hope the entire Kerala will be behind our football team. That's why we thought of naming it as Kerala Blasters FC."" PVP group owned 60 percent of the club. In October 2015, Securities and Exchange Board of India, imposed a fine of ₹30 crore on PVP Group for not complying with disclosure terms, pushing the club into financial uncertainty. To overcome the financial crisis, Tendulkar partnered with the club's main sponsor Muthoot Group, bought 40 percent from PVP Group's stake and acquired the majority stake at the club.",,,,
,"The club played their inaugural match on 13 October 2014, losing 1–0 to NorthEast United. The Blasters are the three-time runners-up of the Indian Super League. They first entered the final in 2014, where they lost 1–0 to ATK after an injury-time goal from them. In 2016, they were again defeated 4–3 by ATK, this time through penalties in the final. The club entered the final for the third time in 2022, where they were defeated 3–1 by Hyderabad FC through penalties. The Blasters play home games at the Jawaharlal Nehru Stadium in Kochi. In most of the seasons since the club's founding, Kerala Blasters have held the record for the highest league attendance, regularly attracting spectators of over 30,000 per game. The club share a rivalry with fellow South Indian neighbours Bengaluru FC and Chennaiyin FC, with whom they contest in the South Indian Derby.","The club played their inaugural match on 13 October 2014, losing 1–0 to NorthEast United. The Blasters are the three-time runners-up of the Indian Super League. They first entered the final in 2014, where they lost 1–0 to ATK after an injury-time goal from them. In 2016, they were again defeated 4–3 by ATK, this time through penalties in the final. The club entered the final for the third time in 2022, where they were defeated 3–1 by Hyderabad FC through penalties. The Blasters play home games at the Jawaharlal Nehru Stadium in Kochi. In most of the seasons since the club's founding, Kerala Blasters have held the record for the highest league attendance, regularly attracting spectators of over 30,000 per game. The club share a rivalry with fellow South Indian neighbours Bengaluru FC and Chennaiyin FC, with whom they contest in the South Indian Derby.",,,,
"Which started first, the ISL or the IPL?","Several IPL franchise owners have expanded their business by acquiring teams in other franchise leagues, such as the West Indies' Caribbean Premier League (CPL), South Africa's SA20, the UAE's International League T20 (ILT20) and the USA's Major League Cricket (MLC).
In 2023, owners of three existing IPL teams – Mumbai Indians, Delhi Capitals and Royal Challengers Bengaluru secured the rights for the homonymous franchises in the Women's Premier League. In addition to these acquisitions, Delhi Capitals also bought a stake in MLC's Seattle Orcas.","Several IPL franchise owners have expanded their business by acquiring teams in other franchise leagues, such as the West Indies' Caribbean Premier League (CPL), South Africa's SA20, the UAE's International League T20 (ILT20) and the USA's Major League Cricket (MLC).

In 2023, owners of three existing IPL teams – Mumbai Indians, Delhi Capitals and Royal Challengers Bengaluru secured the rights for the homonymous franchises in the Women's Premier League. In addition to these acquisitions, Delhi Capitals also bought a stake in MLC's Seattle Orcas.",,,,
,"In 2010, the IPL became the first sporting event to broadcast live on YouTube. In 2014, it ranked sixth in attendance among all sports leagues. Inspired by the success of the IPL, other Indian sports leagues have been established. The IPL is the second-richest sports league in the world by per-match value, after the National Football League. In 2023, the league sold its media rights for the next four seasons for US$6.4 billion to Viacom18 and Star Sports, which meant that each IPL match was valued at $13.4 million. As of 2025, there have been 18 seasons of the tournament. The current champions are the Royal Challengers Bengaluru, who won the 2025 season after defeating the Punjab Kings in the final.
A women's edition of the Indian Premier League, known as the Women's Premier League, was established in 2022 and had its first season in 2023.","In 2010, the IPL became the first sporting event to broadcast live on YouTube. In 2014, it ranked sixth in attendance among all sports leagues. Inspired by the success of the IPL, other Indian sports leagues have been established. The IPL is the second-richest sports league in the world by per-match value, after the National Football League. In 2023, the league sold its media rights for the next four seasons for US$6.4 billion to Viacom18 and Star Sports, which meant that each IPL match was valued at $13.4 million. As of 2025, there have been 18 seasons of the tournament. The current champions are the Royal Challengers Bengaluru, who won the 2025 season after defeating the Punjab Kings in the final.

A women's edition of the Indian Premier League, known as the Women's Premier League, was established in 2022 and had its first season in 2023.",,,,
,"The Indian Premier League (IPL) is a professional Twenty20 (T20) cricket league in India, organised by the Board of Control for Cricket in India (BCCI). Founded in 2007, it features ten city-based franchise teams. The IPL is the most popular and richest cricket league in the world and the 13th richest sporting league in the world by revenue. It is held annually between March and May. It has an exclusive window in the Future Tours Programme of the International Cricket Council, resulting in fewer international tours occurring during the seasons. It is also the most viewed Indian sports event, per the Broadcast Audience Research Council.","The Indian Premier League (IPL) is a professional Twenty20 (T20) cricket league in India, organised by the Board of Control for Cricket in India (BCCI). Founded in 2007, it features ten city-based franchise teams. The IPL is the most popular and richest cricket league in the world and the 13th richest sporting league in the world by revenue. It is held annually between March and May. It has an exclusive window in the Future Tours Programme of the International Cricket Council, resulting in fewer international tours occurring during the seasons. It is also the most viewed Indian sports event, per the Broadcast Audience Research Council.",,,,
,"The ISL attained sole top-tier league status from the 2022–23 season, with the I-League demoted to the second tier. The 2023–24 season saw directly promoted club from the I-League participating in the ISL for the first time. Punjab FC, as the 2022–23 I-League champions, became the 12th league member. In subsequent years, Mohammedan SC and Inter Kashi joined the league as the 13th and 14th club respectively, as champions of the I-League.","The ISL attained sole top-tier league status from the 2022–23 season, with the I-League demoted to the second tier. The 2023–24 season saw directly promoted club from the I-League participating in the ISL for the first time. Punjab FC, as the 2022–23 I-League champions, became the 12th league member. In subsequent years, Mohammedan SC and Inter Kashi joined the league as the 13th and 14th club respectively, as champions of the I-League.",,,,
,"In June 2017, IMG–Reliance, the AIFF and the I-League representatives met with the AFC in Kuala Lumpur in order to find a new way forward for Indian football. The AFC were against allowing the ISL as the main league in India, while I-League clubs East Bengal and Mohun Bagan wanted a complete merger of the ISL and I-League. A couple weeks later, the AIFF proposed that both Indian Super League and I-League run simultaneously on a short–term basis with the I-League champion retaining the AFC Champions League qualifying stage spot and the AFC Cup qualifying stage spot going to the ISL champion. The proposal from the AIFF was officially approved by the AFC on 25 July 2017, with the ISL replacing the domestic cup competition, the Federation Cup, a true knockout cup competition. It was also stated that the competition would now run for five months, starting with the 2017–18 season, expand to 10 teams.","In June 2017, IMG–Reliance, the AIFF and the I-League representatives met with the AFC in Kuala Lumpur in order to find a new way forward for Indian football. The AFC were against allowing the ISL as the main league in India, while I-League clubs East Bengal and Mohun Bagan wanted a complete merger of the ISL and I-League. A couple weeks later, the AIFF proposed that both Indian Super League and I-League run simultaneously on a short–term basis with the I-League champion retaining the AFC Champions League qualifying stage spot and the AFC Cup qualifying stage spot going to the ISL champion. The proposal from the AIFF was officially approved by the AFC on 25 July 2017, with the ISL replacing the domestic cup competition, the Federation Cup, a true knockout cup competition. It was also stated that the competition would now run for five months, starting with the 2017–18 season, expand to 10 teams.",,,,
